gene_id	gene_type	gene_name
ENSMUSG00000026058	protein_coding	Khdrbs2
ENSMUSG00000091318	protein_coding	Gm5415
ENSMUSG00000102917	lncRNA	Gm37724
ENSMUSG00000104230	lncRNA	Gm37591
ENSMUSG00000026134	protein_coding	Prim2
ENSMUSG00000004768	protein_coding	Rab23
ENSMUSG00000042215	protein_coding	Bag2
ENSMUSG00000042197	protein_coding	Zfp451
ENSMUSG00000042182	protein_coding	Bend6
ENSMUSG00000026131	protein_coding	Dst
ENSMUSG00000096992	lncRNA	Gm26788
ENSMUSG00000104397	lncRNA	Gm37958
ENSMUSG00000102336	lncRNA	Gm37233
ENSMUSG00000042111	protein_coding	Ccdc115
ENSMUSG00000101711	lncRNA	Gm28306
ENSMUSG00000026127	protein_coding	Imp4
ENSMUSG00000026126	protein_coding	Ptpn18
ENSMUSG00000100280	lncRNA	Gm28417
ENSMUSG00000101223	lncRNA	4930568A12Rik
ENSMUSG00000026125	protein_coding	Prss39
ENSMUSG00000026124	protein_coding	Cfc1
ENSMUSG00000037529	protein_coding	Prss40
ENSMUSG00000045815	lncRNA	1700101I19Rik
ENSMUSG00000045174	protein_coding	Amer3
ENSMUSG00000037509	protein_coding	Arhgef4
ENSMUSG00000118272	protein_coding	Arhgef4.1
ENSMUSG00000104002	lncRNA	Gm38336
ENSMUSG00000037503	protein_coding	Fam168b
ENSMUSG00000026123	protein_coding	Plekhb2
ENSMUSG00000104417	lncRNA	Gm37068
ENSMUSG00000101714	lncRNA	Gm28415
ENSMUSG00000102531	lncRNA	1110002O04Rik
ENSMUSG00000102279	lncRNA	Gm37146
ENSMUSG00000103708	lncRNA	Gm33222
ENSMUSG00000104201	lncRNA	4930535G08Rik
ENSMUSG00000045216	protein_coding	Hs6st1
ENSMUSG00000104523	lncRNA	Gm37335
ENSMUSG00000102202	lncRNA	Gm33280
ENSMUSG00000037470	protein_coding	Uggt1
ENSMUSG00000047180	protein_coding	Neurl3
ENSMUSG00000037447	protein_coding	Arid5a
ENSMUSG00000102762	lncRNA	4930403P22Rik
ENSMUSG00000010453	protein_coding	Kansl3
ENSMUSG00000037432	protein_coding	Fer1l5
ENSMUSG00000001143	protein_coding	Lman2l
ENSMUSG00000037408	protein_coding	Cnnm4
ENSMUSG00000001138	protein_coding	Cnnm3
ENSMUSG00000102845	lncRNA	Gm38033
ENSMUSG00000067653	protein_coding	Ankrd23
ENSMUSG00000079610	protein_coding	Ankrd39
ENSMUSG00000026121	protein_coding	Sema4c
ENSMUSG00000087589	lncRNA	D430040D24Rik
ENSMUSG00000046337	protein_coding	Fam178b
ENSMUSG00000061518	protein_coding	Cox5b
ENSMUSG00000037351	protein_coding	Actr1b
ENSMUSG00000102416	protein_coding	4933424G06Rik
ENSMUSG00000104237	lncRNA	Gm33533
ENSMUSG00000026117	protein_coding	Zap70
ENSMUSG00000026116	protein_coding	Tmem131
ENSMUSG00000102930	lncRNA	Gm38115
ENSMUSG00000050122	protein_coding	Vwa3b
ENSMUSG00000103603	lncRNA	Gm37020
ENSMUSG00000026114	protein_coding	Cnga3
ENSMUSG00000026113	protein_coding	Inpp4a
ENSMUSG00000086064	lncRNA	4930439A04Rik
ENSMUSG00000026112	protein_coding	Coa5
ENSMUSG00000026111	protein_coding	Unc50
ENSMUSG00000026110	protein_coding	Mgat4a
ENSMUSG00000026090	protein_coding	2010300C02Rik
ENSMUSG00000089767	lncRNA	4930556I23Rik
ENSMUSG00000060771	protein_coding	Tsga10
ENSMUSG00000097268	lncRNA	Gm26805
ENSMUSG00000037216	protein_coding	Lipt1
ENSMUSG00000026088	protein_coding	Mitd1
ENSMUSG00000026087	protein_coding	Mrpl30
ENSMUSG00000061584	protein_coding	Lyg2
ENSMUSG00000087374	lncRNA	Gm15457
ENSMUSG00000026085	protein_coding	Lyg1
ENSMUSG00000058407	protein_coding	Txndc9
ENSMUSG00000026083	protein_coding	Eif5b
ENSMUSG00000026082	protein_coding	Rev1
ENSMUSG00000103804	lncRNA	Gm37062
ENSMUSG00000102716	lncRNA	Gm5099
ENSMUSG00000037138	protein_coding	Aff3
ENSMUSG00000085391	lncRNA	Gm16150
ENSMUSG00000085280	lncRNA	Gm16151
ENSMUSG00000087131	lncRNA	Gm16152
ENSMUSG00000048814	protein_coding	Lonrf2
ENSMUSG00000026080	protein_coding	Chst10
ENSMUSG00000103647	lncRNA	Gm37707
ENSMUSG00000067604	protein_coding	Nms
ENSMUSG00000026078	protein_coding	Pdcl3
ENSMUSG00000104188	lncRNA	Gm37821
ENSMUSG00000026077	protein_coding	Npas2
ENSMUSG00000073702	protein_coding	Rpl31
ENSMUSG00000003134	protein_coding	Tbc1d8
ENSMUSG00000003135	protein_coding	Cnot11
ENSMUSG00000085894	lncRNA	Gm15832
ENSMUSG00000048234	protein_coding	Rnf149
ENSMUSG00000050967	protein_coding	Creg2
ENSMUSG00000097083	lncRNA	D930019O06Rik
ENSMUSG00000057173	protein_coding	Rfx8
ENSMUSG00000091937	protein_coding	Gm3646
ENSMUSG00000101634	lncRNA	1700066B17Rik
ENSMUSG00000026074	protein_coding	Map4k4
ENSMUSG00000026073	protein_coding	Il1r2
ENSMUSG00000097899	lncRNA	Gm16894
ENSMUSG00000026072	protein_coding	Il1r1
ENSMUSG00000070942	protein_coding	Il1rl2
ENSMUSG00000026069	protein_coding	Il1rl1
ENSMUSG00000026070	protein_coding	Il18r1
ENSMUSG00000026068	protein_coding	Il18rap
ENSMUSG00000104441	lncRNA	Gm35801
ENSMUSG00000026065	protein_coding	Slc9a4
ENSMUSG00000026062	protein_coding	Slc9a2
ENSMUSG00000103679	lncRNA	Gm37623
ENSMUSG00000103270	lncRNA	Gm37915
ENSMUSG00000041945	protein_coding	Mfsd9
ENSMUSG00000079588	protein_coding	Tmem182
ENSMUSG00000104072	lncRNA	4930448I06Rik
ENSMUSG00000100185	lncRNA	Gm28634
ENSMUSG00000100832	lncRNA	Gm29260
ENSMUSG00000053640	lncRNA	Gm9915
ENSMUSG00000101919	lncRNA	Gm29664
ENSMUSG00000101299	lncRNA	Gm28175
ENSMUSG00000100180	lncRNA	Gm28140
ENSMUSG00000060424	lncRNA	Pantr1
ENSMUSG00000093436	lncRNA	Gm20646
ENSMUSG00000045515	protein_coding	Pou3f3
ENSMUSG00000097063	lncRNA	Pantr2
ENSMUSG00000099784	lncRNA	Dalir
ENSMUSG00000060679	protein_coding	Mrps9
ENSMUSG00000041907	protein_coding	Gpr45
ENSMUSG00000070939	protein_coding	Tgfbrap1
ENSMUSG00000100269	lncRNA	Gm28782
ENSMUSG00000041878	lncRNA	8430432A02Rik
ENSMUSG00000010290	protein_coding	AI597479
ENSMUSG00000008136	protein_coding	Fhl2
ENSMUSG00000099576	lncRNA	Gm29040
ENSMUSG00000066877	protein_coding	Nck2
ENSMUSG00000026051	protein_coding	Ecrg4
ENSMUSG00000100764	lncRNA	Gm29155
ENSMUSG00000100635	lncRNA	Gm29157
ENSMUSG00000100480	lncRNA	Gm29156
ENSMUSG00000057363	protein_coding	Uxs1
ENSMUSG00000041763	protein_coding	Tpp2
ENSMUSG00000047343	protein_coding	Mettl21c
ENSMUSG00000091844	protein_coding	Gm8251
ENSMUSG00000026049	protein_coding	Tex30
ENSMUSG00000026047	protein_coding	Poglut2
ENSMUSG00000041684	protein_coding	Bivm
ENSMUSG00000026048	protein_coding	Ercc5
ENSMUSG00000046828	protein_coding	Mettl21e
ENSMUSG00000100769	lncRNA	Gm28893
ENSMUSG00000056870	protein_coding	Gulp1
ENSMUSG00000101701	lncRNA	4930521E06Rik
ENSMUSG00000026043	protein_coding	Col3a1
ENSMUSG00000026042	protein_coding	Col5a2
ENSMUSG00000025995	protein_coding	Wdr75
ENSMUSG00000098549	protein_coding	Gm5269
ENSMUSG00000025993	protein_coding	Slc40a1
ENSMUSG00000041144	protein_coding	Dnah7b
ENSMUSG00000101337	protein_coding	Dnah7c
ENSMUSG00000025986	protein_coding	Slc39a10
ENSMUSG00000100213	lncRNA	Gm28151
ENSMUSG00000101447	lncRNA	Gm28826
ENSMUSG00000051616	lncRNA	C230029F24Rik
ENSMUSG00000099608	lncRNA	4933411E06Rik
ENSMUSG00000100451	lncRNA	Gm29665
ENSMUSG00000100816	lncRNA	Gm28321
ENSMUSG00000026109	protein_coding	Tmeff2
ENSMUSG00000100671	lncRNA	Gm28322
ENSMUSG00000101242	lncRNA	Gm28319
ENSMUSG00000099924	lncRNA	Gm28320
ENSMUSG00000099625	lncRNA	Gm29325
ENSMUSG00000101799	lncRNA	9330175M20Rik
ENSMUSG00000045954	protein_coding	Cavin2
ENSMUSG00000101702	lncRNA	1700072G22Rik
ENSMUSG00000026107	protein_coding	Nabp1
ENSMUSG00000099413	lncRNA	Gm17767
ENSMUSG00000101741	lncRNA	Gm28055
ENSMUSG00000018417	protein_coding	Myo1b
ENSMUSG00000101724	lncRNA	Gm29453
ENSMUSG00000100313	lncRNA	Gm28323
ENSMUSG00000062939	protein_coding	Stat4
ENSMUSG00000109599	lncRNA	Gm31812
ENSMUSG00000026104	protein_coding	Stat1
ENSMUSG00000026103	protein_coding	Gls
ENSMUSG00000002881	protein_coding	Nab1
ENSMUSG00000100120	lncRNA	Gm553
ENSMUSG00000099878	lncRNA	Gm28178
ENSMUSG00000043015	protein_coding	Nemp2
ENSMUSG00000041439	protein_coding	Mfsd6
ENSMUSG00000100302	lncRNA	Gm29670
ENSMUSG00000026102	protein_coding	Inpp1
ENSMUSG00000041426	protein_coding	Hibch
ENSMUSG00000043629	protein_coding	1700019D03Rik
ENSMUSG00000026100	protein_coding	Mstn
ENSMUSG00000060715	protein_coding	1700019A02Rik
ENSMUSG00000026098	protein_coding	Pms1
ENSMUSG00000100763	lncRNA	Gm28777
ENSMUSG00000026097	protein_coding	Ormdl1
ENSMUSG00000026096	protein_coding	Osgepl1
ENSMUSG00000026095	protein_coding	Asnsd1
ENSMUSG00000117809	protein_coding	Asdurf
ENSMUSG00000096141	protein_coding	Dnah7a
ENSMUSG00000026094	protein_coding	Stk17b
ENSMUSG00000042807	protein_coding	Hecw2
ENSMUSG00000025983	protein_coding	Ccdc150
ENSMUSG00000041303	protein_coding	Gtf3c3
ENSMUSG00000109809	protein_coding	Gm34066
ENSMUSG00000073678	protein_coding	Pgap1
ENSMUSG00000052331	protein_coding	Ankrd44
ENSMUSG00000101674	lncRNA	4930444A19Rik
ENSMUSG00000025982	protein_coding	Sf3b1
ENSMUSG00000025981	protein_coding	Coq10b
ENSMUSG00000025980	protein_coding	Hspd1
ENSMUSG00000073676	protein_coding	Hspe1
ENSMUSG00000025979	protein_coding	Mob4
ENSMUSG00000025978	protein_coding	Rftn2
ENSMUSG00000097649	lncRNA	Gm10561
ENSMUSG00000046994	protein_coding	Mars2
ENSMUSG00000025977	protein_coding	Boll
ENSMUSG00000038349	protein_coding	Plcl1
ENSMUSG00000099950	lncRNA	9130227L01Rik
ENSMUSG00000100372	lncRNA	1700003I22Rik
ENSMUSG00000101332	lncRNA	Gm28240
ENSMUSG00000045336	protein_coding	Hsfy2
ENSMUSG00000038331	protein_coding	Satb2
ENSMUSG00000087022	lncRNA	9130024F11Rik
ENSMUSG00000099945	lncRNA	1700126A01Rik
ENSMUSG00000101429	lncRNA	BC055402
ENSMUSG00000097519	lncRNA	4930558J18Rik
ENSMUSG00000038323	protein_coding	1700066M21Rik
ENSMUSG00000048495	protein_coding	Tyw5
ENSMUSG00000025971	protein_coding	Maip1
ENSMUSG00000038305	protein_coding	Spats2l
ENSMUSG00000091283	lncRNA	Gm17234
ENSMUSG00000054770	protein_coding	Kctd18
ENSMUSG00000026039	protein_coding	Sgo2a
ENSMUSG00000063558	protein_coding	Aox1
ENSMUSG00000064294	protein_coding	Aox3
ENSMUSG00000038242	protein_coding	Aox4
ENSMUSG00000089822	lncRNA	Gm15759
ENSMUSG00000079554	protein_coding	Aox2
ENSMUSG00000051223	protein_coding	Bzw1
ENSMUSG00000026034	protein_coding	Clk1
ENSMUSG00000026035	protein_coding	Ppil3
ENSMUSG00000026036	protein_coding	Nif3l1
ENSMUSG00000026037	protein_coding	Orc2
ENSMUSG00000085054	lncRNA	Gm15834
ENSMUSG00000038174	protein_coding	Fam126b
ENSMUSG00000026032	protein_coding	Ndufb3
ENSMUSG00000047528	protein_coding	Flacc1
ENSMUSG00000026031	protein_coding	Cflar
ENSMUSG00000026029	protein_coding	Casp8
ENSMUSG00000026028	protein_coding	Trak2
ENSMUSG00000026027	protein_coding	Stradb
ENSMUSG00000072295	protein_coding	C2cd6
ENSMUSG00000047383	lncRNA	AC169382.1
ENSMUSG00000099752	lncRNA	Gm29018
ENSMUSG00000038079	protein_coding	Tmem237
ENSMUSG00000097573	lncRNA	G730003C15Rik
ENSMUSG00000079550	protein_coding	Mpp4
ENSMUSG00000101586	lncRNA	Gm29017
ENSMUSG00000026024	protein_coding	Als2
ENSMUSG00000026023	protein_coding	Cdk15
ENSMUSG00000099922	lncRNA	Gm29016
ENSMUSG00000041075	protein_coding	Fzd7
ENSMUSG00000097819	lncRNA	Gm26813
ENSMUSG00000047361	protein_coding	Gm973
ENSMUSG00000099811	lncRNA	Gm28411
ENSMUSG00000101409	lncRNA	1700122D07Rik
ENSMUSG00000026021	protein_coding	Sumo1
ENSMUSG00000026020	protein_coding	Nop58
ENSMUSG00000067336	protein_coding	Bmpr2
ENSMUSG00000041040	protein_coding	Fam117b
ENSMUSG00000026018	protein_coding	Ica1l
ENSMUSG00000026019	protein_coding	Wdr12
ENSMUSG00000026017	protein_coding	Carf
ENSMUSG00000073664	protein_coding	Nbeal1
ENSMUSG00000049439	protein_coding	Cyp20a1
ENSMUSG00000026782	protein_coding	Abi2
ENSMUSG00000026014	protein_coding	Raph1
ENSMUSG00000026012	protein_coding	Cd28
ENSMUSG00000086795	lncRNA	Gm11579
ENSMUSG00000085965	lncRNA	2310016D23Rik
ENSMUSG00000026011	protein_coding	Ctla4
ENSMUSG00000026009	protein_coding	Icos
ENSMUSG00000100893	lncRNA	Gm28083
ENSMUSG00000085248	lncRNA	Gm11587
ENSMUSG00000085447	lncRNA	9530026F06Rik
ENSMUSG00000086408	lncRNA	Gm11588
ENSMUSG00000100965	lncRNA	Gm28449
ENSMUSG00000086009	lncRNA	4930587A21Rik
ENSMUSG00000052062	protein_coding	Pard3b
ENSMUSG00000085842	lncRNA	Pard3bos1
ENSMUSG00000085019	lncRNA	Pard3bos2
ENSMUSG00000085400	lncRNA	Pard3bos3
ENSMUSG00000100750	lncRNA	Gm29084
ENSMUSG00000025969	protein_coding	Nrp2
ENSMUSG00000100811	lncRNA	Gm29083
ENSMUSG00000100426	lncRNA	Gm4208
ENSMUSG00000040865	protein_coding	Ino80d
ENSMUSG00000084799	lncRNA	Ino80dos
ENSMUSG00000101599	lncRNA	Gm20342
ENSMUSG00000025968	protein_coding	Ndufs1
ENSMUSG00000025967	protein_coding	Eef1b2
ENSMUSG00000046856	protein_coding	Gpr1
ENSMUSG00000086730	lncRNA	Platr12
ENSMUSG00000087561	lncRNA	Gm11608
ENSMUSG00000027520	protein_coding	Zdbf2
ENSMUSG00000025964	protein_coding	Adam23
ENSMUSG00000115378	protein_coding	Gm39653
ENSMUSG00000069085	protein_coding	Dytn
ENSMUSG00000025963	protein_coding	Mdh1b
ENSMUSG00000025962	protein_coding	Fastkd2
ENSMUSG00000025961	protein_coding	4933402D24Rik
ENSMUSG00000044689	lncRNA	Gm13749
ENSMUSG00000025959	protein_coding	Klf7
ENSMUSG00000086836	lncRNA	Gm13748
ENSMUSG00000101895	lncRNA	Gm28981
ENSMUSG00000025958	protein_coding	Creb1
ENSMUSG00000025956	protein_coding	Mettl21a
ENSMUSG00000101832	lncRNA	Gm28982
ENSMUSG00000100437	lncRNA	Gm29152
ENSMUSG00000087213	lncRNA	2810408I11Rik
ENSMUSG00000070871	protein_coding	Ccnyl1
ENSMUSG00000045005	protein_coding	Fzd5
ENSMUSG00000051344	protein_coding	Plekhm3
ENSMUSG00000025955	protein_coding	Akr1cl
ENSMUSG00000070870	protein_coding	Cryge
ENSMUSG00000067299	protein_coding	Crygd
ENSMUSG00000025952	protein_coding	Crygc
ENSMUSG00000073658	protein_coding	Crygb
ENSMUSG00000044429	protein_coding	Cryga
ENSMUSG00000044816	protein_coding	D630023F18Rik
ENSMUSG00000025950	protein_coding	Idh1
ENSMUSG00000025949	protein_coding	Pikfyve
ENSMUSG00000025946	protein_coding	Pth2r
ENSMUSG00000025945	protein_coding	Crygf
ENSMUSG00000015222	protein_coding	Map2
ENSMUSG00000073656	lncRNA	Gm10558
ENSMUSG00000055567	protein_coding	Unc80
ENSMUSG00000026005	protein_coding	Rpe
ENSMUSG00000026004	protein_coding	Kansl1l
ENSMUSG00000026003	protein_coding	Acadl
ENSMUSG00000061816	protein_coding	Myl1
ENSMUSG00000026000	protein_coding	Lancl1
ENSMUSG00000025991	protein_coding	Cps1
ENSMUSG00000086204	lncRNA	Gm15668
ENSMUSG00000085075	lncRNA	Gm15669
ENSMUSG00000087329	lncRNA	Gm15671
ENSMUSG00000062209	protein_coding	Erbb4
ENSMUSG00000087514	lncRNA	Gm16076
ENSMUSG00000099804	lncRNA	Gm28497
ENSMUSG00000100354	lncRNA	Gm29113
ENSMUSG00000101156	lncRNA	Gm29114
ENSMUSG00000025997	protein_coding	Ikzf2
ENSMUSG00000100815	lncRNA	Gm29112
ENSMUSG00000099954	lncRNA	Gm28112
ENSMUSG00000053153	protein_coding	Spag16
ENSMUSG00000045648	protein_coding	Vwc2l
ENSMUSG00000026196	protein_coding	Bard1
ENSMUSG00000050296	protein_coding	Abca12
ENSMUSG00000026192	protein_coding	Atic
ENSMUSG00000026193	protein_coding	Fn1
ENSMUSG00000073652	lncRNA	Apol7d
ENSMUSG00000099707	lncRNA	Gm8883
ENSMUSG00000101211	lncRNA	Gm28818
ENSMUSG00000101848	lncRNA	4933417E11Rik
ENSMUSG00000101764	lncRNA	4930556G22Rik
ENSMUSG00000102123	lncRNA	Gm4319
ENSMUSG00000039395	protein_coding	Mreg
ENSMUSG00000026189	protein_coding	Pecr
ENSMUSG00000026188	protein_coding	Tmem169
ENSMUSG00000026187	protein_coding	Xrcc5
ENSMUSG00000039372	protein_coding	March4
ENSMUSG00000039354	protein_coding	Smarcal1
ENSMUSG00000110712	lncRNA	Gm39662
ENSMUSG00000039342	protein_coding	Ankar
ENSMUSG00000046330	protein_coding	Rpl37a
ENSMUSG00000039323	protein_coding	Igfbp2
ENSMUSG00000026185	protein_coding	Igfbp5
ENSMUSG00000101968	lncRNA	1700027A15Rik
ENSMUSG00000026182	protein_coding	Tnp1
ENSMUSG00000101112	lncRNA	Gm29185
ENSMUSG00000099877	lncRNA	Pinc
ENSMUSG00000101812	lncRNA	D530049I02Rik
ENSMUSG00000100444	lncRNA	C530043A13Rik
ENSMUSG00000100429	lncRNA	Gm29186
ENSMUSG00000100301	lncRNA	6030407O03Rik
ENSMUSG00000101344	lncRNA	Gm29183
ENSMUSG00000055322	protein_coding	Tns1
ENSMUSG00000061815	protein_coding	Rufy4
ENSMUSG00000026180	protein_coding	Cxcr2
ENSMUSG00000048480	protein_coding	Cxcr1
ENSMUSG00000006304	protein_coding	Arpc2
ENSMUSG00000064272	protein_coding	Gpbar1
ENSMUSG00000006299	protein_coding	Aamp
ENSMUSG00000101503	lncRNA	Gm28364
ENSMUSG00000026179	protein_coding	Pnkd
ENSMUSG00000006301	protein_coding	Tmbim1
ENSMUSG00000099931	lncRNA	Gm29358
ENSMUSG00000073650	protein_coding	Catip
ENSMUSG00000026177	protein_coding	Slc11a1
ENSMUSG00000026176	protein_coding	Ctdsp1
ENSMUSG00000026175	protein_coding	Vil1
ENSMUSG00000033364	protein_coding	Usp37
ENSMUSG00000026174	protein_coding	Cnot9
ENSMUSG00000026173	protein_coding	Plcd4
ENSMUSG00000026135	protein_coding	Zfp142
ENSMUSG00000026172	protein_coding	Bcs1l
ENSMUSG00000026171	protein_coding	Rnf25
ENSMUSG00000033276	protein_coding	Stk36
ENSMUSG00000033257	protein_coding	Ttll4
ENSMUSG00000026170	protein_coding	Cyp27a1
ENSMUSG00000006542	protein_coding	Prkag3
ENSMUSG00000033227	protein_coding	Wnt6
ENSMUSG00000099472	lncRNA	Gm29539
ENSMUSG00000026167	protein_coding	Wnt10a
ENSMUSG00000089964	lncRNA	Gm16582
ENSMUSG00000090071	protein_coding	Cdk5r2
ENSMUSG00000055197	protein_coding	Fev
ENSMUSG00000006546	protein_coding	Cryba2
ENSMUSG00000047021	protein_coding	Cfap65
ENSMUSG00000089653	lncRNA	Gm15841
ENSMUSG00000006538	protein_coding	Ihh
ENSMUSG00000026162	protein_coding	Nhej1
ENSMUSG00000026205	protein_coding	Slc23a3
ENSMUSG00000033159	protein_coding	Cnppd1
ENSMUSG00000049339	protein_coding	Retreg2
ENSMUSG00000026197	protein_coding	Zfand2b
ENSMUSG00000026198	protein_coding	Abcb6
ENSMUSG00000033124	protein_coding	Atg9a
